loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax
86,CoRoT-4,b,9.20205,0.09
87,CoRoT-5,b,4.0378962,0.04947
88,CoRoT-6,b,8.886593,0.0855
90,CoRoT-7,c,3.698,0.046
91,CoRoT-8,b,6.21229,0.063
92,CoRoT-9,b,95.272656,0.4021
93,CoRoTID 223977153,b,6.71837,0.071
94,DENIS-P J082303.1-491201,b,246.36,0.36
96,DP Leo,b,10220,8.19
97,EPIC 211822797,b,21.169861,0.131
98,EPIC 211945201,b,19.49213,0.148
99,EPIC 220674823,b,0.571336,0.01312
100,EPIC 220674823,c,13.3387,0.1071
102,Fomalhaut,b,555530,160
103,GJ 1132,b,1.6289287,0.01533
104,GJ 1148,b,41.38,0.166
105,GJ 1148,c,532.58,0.912
106,GJ 1214,b,1.58040456,0.01411
107,GJ 163,b,8.63182,0.0607
108,GJ 163,c,25.63058,0.1254
109,GJ 163,d,603.95116,1.0304
110,GJ 179,b,2288,2.41
111,GJ 273,b,18.6498,0.091101
112,GJ 273,c,4.7234,0.036467
113,GJ 3021,b,133.71,0.49
114,GJ 3138,b,1.22003,0.0197
115,GJ 3138,c,5.974,0.057
116,GJ 3138,d,257.8,0.698
117,GJ 317,b,692,1.15
118,GJ 328,b,4100,4.5
119,GJ 3293,b,30.5987,0.14339
120,GJ 3293,c,122.6196,0.36175
121,GJ 3293,d,48.1345,0.19394
122,GJ 3293,e,13.2543,0.08208
123,GJ 3323,b,5.3636,0.03282
124,GJ 3323,c,40.54,0.1264
125,GJ 3341,b,14.207,0.089
126,GJ 3470,b,3.3366487,0.031
127,GJ 3634,b,2.64561,0.0287
128,GJ 3942,b,6.905,0.0608
129,GJ 3998,b,2.64977,0.029
130,GJ 3998,c,13.74,0.089
131,GJ 433,b,7.3709,0.06
132,GJ 436,b,2.64388312,0.0291
134,GJ 536,b,8.7076,0.06661
135,GJ 581,b,5.3686,0.04061
136,GJ 581,c,12.914,0.0721
137,GJ 581,e,3.149,0.02815
138,GJ 625,b,14.628,0.078361
139,GJ 649,b,598.3,1.135
140,GJ 667 C,b,7.2004,0.0505
141,GJ 667 C,c,28.14,0.125
142,GJ 667 C,e,62.24,0.213
143,GJ 667 C,f,39.026,0.156
144,GJ 667 C,g,256.2,0.549
145,GJ 674,b,4.6938,0.039
146,GJ 676 A,b,1056.80005,1.82
147,GJ 676 A,c,7337,6.6
150,GJ 687,b,38.14,0.17
151,GJ 832,b,3657,3.56
152,GJ 832,c,35.68,0.163
153,GJ 849,b,1882,2.35
154,GJ 86,b,15.76491,0.11
155,GJ 876,b,61.1166,0.208317
156,GJ 876,c,30.0881,0.12959
157,GJ 876,d,1.93778,0.020807
158,GJ 876,e,124.26,0.3343
159,GJ 9827,b,1.208957,0.02
160,GJ 9827,c,3.64802,0.042
161,GJ 9827,d,6.20141,0.06
165,HAT-P-1,b,4.46529976,0.05561
167,HAT-P-12,b,3.2130598,0.0384
172,HAT-P-16,b,2.77596,0.0413
174,HAT-P-17,c,5584,5.6
175,HAT-P-18,b,5.508023,0.0559
176,HAT-P-19,b,4.008778,0.0466
178,HAT-P-20,b,2.875317,0.0361
183,HAT-P-25,b,3.652836,0.0466
185,HAT-P-27,b,3.039577,0.04
186,HAT-P-28,b,3.257215,0.0434
196,HAT-P-37,b,2.797436,0.0379
197,HAT-P-38,b,4.640382,0.0523
198,HAT-P-39,b,3.54387,0.0509
199,HAT-P-4,b,3.056536,0.04438
202,HAT-P-42,b,4.641878,0.0575
203,HAT-P-43,b,3.332687,0.0443
204,HAT-P-44,b,4.301219,0.0507
205,HAT-P-44,c,872.2,1.752
206,HAT-P-45,b,3.128992,0.0452
207,HAT-P-46,b,4.463129,0.0577
210,HAT-P-50,b,3.1220109,0.0453
211,HAT-P-51,b,4.2180278,0.05069
212,HAT-P-52,b,2.7535953,0.03694
213,HAT-P-53,b,1.9616241,0.03159
214,HAT-P-54,b,3.799847,0.04117
215,HAT-P-55,b,3.5852467,0.04604
219,HAT-P-65,b,2.6054552,0.03951
220,HAT-P-66,b,2.972086,0.04363
221,HAT-P-67,b,4.8101025,0.06505
224,HAT-P-9,b,3.92289,0.053
225,HATS-1,b,3.446459,0.0444
226,HATS-10,b,3.312846,0.04491
229,HATS-13,b,3.0440499,0.04057
230,HATS-14,b,2.7667641,0.03815
231,HATS-15,b,1.74748753,0.02712
232,HATS-16,b,2.686502,0.03744
233,HATS-17,b,16.254611,0.1308
234,HATS-18,b,0.8378434,0.01761
235,HATS-2,b,1.354133,0.023
236,HATS-22,b,4.7228124,0.05025
237,HATS-23,b,2.1605156,0.03397
238,HATS-24,b,1.3484954,0.02547
239,HATS-25,b,4.2986432,0.05163
240,HATS-26,b,3.3023881,0.04735
241,HATS-27,b,4.637038,0.0611
242,HATS-28,b,3.1810781,0.04131
243,HATS-29,b,4.6058749,0.05475
245,HATS-30,b,3.1743516,0.04354
246,HATS-31,b,3.37796,0.0478
247,HATS-32,b,2.8126548,0.04024
248,HATS-33,b,2.5495551,0.03727
249,HATS-34,b,2.1061607,0.03166
250,HATS-35,b,1.8209993,0.03199
251,HATS-36,b,4.1752387,0.05425
252,HATS-39,b,4.5776348,0.06007
253,HATS-4,b,2.516729,0.0362
254,HATS-40,b,3.2642736,0.04997
255,HATS-41,b,4.193649,0.0583
256,HATS-42,b,2.292102,0.03689
257,HATS-43,b,4.3888497,0.04944
258,HATS-44,b,2.7439004,0.03649
259,HATS-45,b,4.1876244,0.05511
260,HATS-46,b,4.7423729,0.05367
261,HATS-5,b,4.763387,0.0542
262,HATS-50,b,3.8297015,0.05046
263,HATS-51,b,3.3488702,0.04639
264,HATS-52,b,1.36665436,0.02498
265,HATS-53,b,3.8537768,0.04753
266,HATS-6,b,3.3252725,0.03623
267,HATS-7,b,3.185315,0.04012
268,HATS-8,b,3.583893,0.04667
271,HD 100655,b,157.57001,0.68
272,HD 100777,b,383.70001,1.03
273,HD 10180,c,5.75969,0.06412
