loc_rowid,pl_hostname,pl_letter,pl_bmassj,pl_radj
1060,KELT-14,b,1.284,1.743
1061,KELT-15,b,1.31,1.74
1062,KELT-16,b,2.75,1.415
1063,KELT-17,b,1.31,1.525
1064,KELT-18,b,1.18,1.57
1065,KELT-19 A,b,4.07,1.91
1066,KELT-2 A,b,1.7,1.35
1067,KELT-20,b,3.382,1.741
1068,KELT-21,b,3.91,1.586
1069,KELT-3,b,1.94,1.56
1070,KELT-4 A,b,0.902,1.699
1071,KELT-6,b,0.52,1.3
1073,KELT-7,b,1.39,1.6
1074,KELT-8,b,0.66,1.62
1075,KELT-9,b,2.88,1.891
1087,KOI-12,b,5.32,1.54
1088,KOI-1257,b,1.45,0.94
1089,KOI-13,b,9.28,1.512
1090,KOI-142,b,0.027,0.337
1101,KOI-55,b,0.0014,0.068
1102,KOI-55,c,0.0021,0.077
1103,KOI-94,b,0.033,0.153
1104,KOI-94,c,0.049,0.385
1105,KOI-94,d,0.334,1.005
1106,KOI-94,e,0.11,0.585
1107,KPS-1,b,1.09,1.03
1109,Kepler-10,b,0.0145,0.132
1110,Kepler-10,c,0.054,0.21
1111,Kepler-100,b,0.023,0.118
1112,Kepler-100,c,0.02218,0.196
1113,Kepler-100,d,0.00944,0.144
1124,Kepler-101,b,0.16,0.51
1125,Kepler-101,c,0.01,0.112
1137,Kepler-102,b,0.01353,0.042
1138,Kepler-102,c,0.00944,0.052
1139,Kepler-102,d,0.012,0.105
1140,Kepler-102,e,0.028,0.198
1141,Kepler-102,f,0.01636,0.079
1152,Kepler-103,b,0.031,0.301
1153,Kepler-103,c,0.114,0.459
1179,Kepler-105,c,0.01447,0.117
1191,Kepler-106,b,0.01668,0.073
1192,Kepler-106,c,0.033,0.223
1193,Kepler-106,d,0.02549,0.085
1194,Kepler-106,e,0.035,0.228
1234,Kepler-109,b,0.02297,0.211
1235,Kepler-109,c,0.06859,0.225
1247,Kepler-11,b,0.006,0.161
1248,Kepler-11,c,0.009,0.256
1249,Kepler-11,d,0.023,0.278
1250,Kepler-11,e,0.025,0.374
1251,Kepler-11,f,0.006,0.222
1252,Kepler-11,g,0.079,0.297
1290,Kepler-113,b,0.037,0.162
1291,Kepler-113,c,0.02737,0.194
1303,Kepler-114,c,0.009,0.143
1304,Kepler-114,d,0.012,0.226
1341,Kepler-117,b,0.094,0.719
1342,Kepler-117,c,1.84,1.101
1377,Kepler-12,b,0.432,1.754
1406,Kepler-122,f,0.113,0.156
1483,Kepler-128,b,0.097,0.101
1484,Kepler-128,c,0.105,0.101
1520,Kepler-131,b,0.051,0.215
1521,Kepler-131,c,0.026,0.075
1613,Kepler-138,b,0.00021,0.047
1614,Kepler-138,c,0.0062,0.107
1615,Kepler-138,d,0.00201,0.108
1642,Kepler-14,b,8.4,1.136
1704,Kepler-145,b,0.117,0.236
1705,Kepler-145,c,0.25,0.385
1768,Kepler-15,b,0.66,0.96
1900,Kepler-16,b,0.333,0.754
1961,Kepler-1647,b,1.51968,1.059
1969,Kepler-1654,b,0.5,0.819
1970,Kepler-1655,b,0.01573,0.197
1985,Kepler-17,b,2.45,1.31
2006,Kepler-177,b,0.006,0.259
2007,Kepler-177,c,0.024,0.633
2013,Kepler-18,b,0.022,0.178
2014,Kepler-18,c,0.054,0.49
2015,Kepler-18,d,0.052,0.623
2069,Kepler-20,b,0.03052,0.167
2070,Kepler-20,c,0.04012,0.272
2071,Kepler-20,d,0.03168,0.245
2100,Kepler-21,b,0.01598,0.146
2126,Kepler-22,b,0.113,0.212
2138,Kepler-223,b,0.02328,0.267
2139,Kepler-223,c,0.01605,0.307
2140,Kepler-223,d,0.02517,0.467
2141,Kepler-223,e,0.0151,0.41
2159,Kepler-23,b,0.8,0.17
2160,Kepler-23,c,2.7,0.285
2183,Kepler-238,e,0.534,0.5
2184,Kepler-238,f,0.042,0.178
